id,1000G population code,population,1000G superpopulation code,latitude,longitude,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
HG02461,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.894269599981256658e-01,-9.466163741940893939e-01,6.282065200805664062e+01,1.146728515625000000e+01,5.764910914649178864e+01,-1.240171592391343047e+01
HG02462,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,4.669869135287423312e-01,-9.364354754490376020e-01,6.103412246704101562e+01,9.327119827270507812e+00,5.529366990548255245e+01,-1.029836395464088739e+01
HG02464,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.965279504408925737e-01,-8.853407434940142595e-01,6.455995178222656250e+01,1.383823680877685547e+01,5.956222957500045823e+01,-1.249933508053643827e+01
HG02465,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.449667669251336832e-01,-9.934921201049863315e-01,6.150157165527343750e+01,7.728083133697509766e+00,5.920837969248381683e+01,-1.379255361498291244e+01
HG02561,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.944109859116220029e-01,-8.698802227051113389e-01,6.021798706054687500e+01,1.230297660827636719e+01,5.681160788617309265e+01,-1.344477739779592973e+01
HG02562,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.997822694971653990e-01,-8.718335299718232845e-01,6.482431793212890625e+01,1.280022907257080078e+01,5.663796461282499450e+01,-1.272572118703705790e+01
HG02568,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.921427340841759479e-01,-8.653725855994270910e-01,6.302747344970703125e+01,1.377594661712646484e+01,5.568566986841602073e+01,-1.198777074110545371e+01
HG02570,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,7.341803650927450908e-01,-9.498221475571980710e-01,6.972345733642578125e+01,7.260983943939208984e+00,5.924313907274796520e+01,-1.364205057226937967e+01
HG02571,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.456540607597588410e-01,-9.848753897057329620e-01,6.896111297607421875e+01,9.411212921142578125e+00,5.799591043680897684e+01,-1.133396086689806559e+01
HG02573,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.367719342992332887e-01,-8.807434888638832060e-01,6.703853607177734375e+01,1.095754623413085938e+01,5.791032029045601348e+01,-1.092812848219361399e+01
HG02574,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.217352805473841393e-01,-9.364469242812040184e-01,6.809651184082031250e+01,1.071375465393066406e+01,5.436094722113853095e+01,-7.168069520710266040e+00
HG02582,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.009734961008372789e-01,-9.371460846760428787e-01,6.617438507080078125e+01,1.031226348876953125e+01,5.415830107691022022e+01,-1.272724276887873707e+01
HG02583,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,4.679790195220928095e-01,-9.995693465360108165e-01,6.174396514892578125e+01,6.185246467590332031e+00,5.945248029481796692e+01,-1.259739859149125962e+01
HG02585,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.993115001489530691e-01,-9.991915265527300249e-01,6.326285934448242188e+01,6.210825920104980469e+00,5.966189693401302918e+01,-1.107345124239299494e+01
HG02586,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.984730041874289919e-01,-9.998693104446684243e-01,6.384806442260742188e+01,6.847739219665527344e+00,5.768515631667179377e+01,-1.068215738193594078e+01
HG02588,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,4.799362916930040579e-01,-8.963367726711946037e-01,6.130806350708007812e+01,1.199923038482666016e+01,5.497326400883147812e+01,-1.285261194975649168e+01
HG02589,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.999961302135513597e-01,-9.057528307993443217e-01,6.459630584716796875e+01,1.132474517822265625e+01,5.799659649573129627e+01,-1.163794238189823460e+01
HG02594,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.999295888508795249e-01,-9.988421611120378296e-01,6.638948822021484375e+01,7.188601016998291016e+00,5.818515126093726053e+01,-1.209048986416422267e+01
HG02595,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.996126001013717399e-01,-9.960248979942876169e-01,6.402496337890625000e+01,8.813965797424316406e+00,5.664784756708237268e+01,-1.148776434619937170e+01
HG02610,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.999673077546139321e-01,-8.871016960293082176e-01,6.429699707031250000e+01,1.215786838531494141e+01,5.910864100704936419e+01,-1.247901227770779187e+01
HG02611,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.336540503592670515e-01,-9.999536964563499053e-01,6.009221649169921875e+01,9.508637428283691406e+00,6.038094985913296853e+01,-1.240128180385903001e+01
HG02613,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.352470282427252979e-01,-9.712810002255646280e-01,6.119799804687500000e+01,9.063957214355468750e+00,5.821831576419234722e+01,-1.008922410565258865e+01
HG02614,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,6.087638484246997717e-01,-9.451431124284871421e-01,6.820752716064453125e+01,1.008808708190917969e+01,5.784432559301573917e+01,-1.034256218440330599e+01
HG02620,GWD,Gambian in Western Divisions in the Gambia,AFR,13.4431,-15.3101,5.903682725950929466e-01,-9.241949013815249359e-01,6.398056030273437500e+01,1.200342273712158203e+01,5.733290769597029168e+01,-1.288229924480641664e+01
